artist_ID,name,genre,founded,style,length,location
0,acid bath,metal,1991,mixed,medium,usa
1,alice in chains,grunge,1987,slow,medium,usa
2,bauhaus,gothic rock,1978,mixed,long,uk
3,death grips,experimental,2010,mixed,short,usa
4,depeche mode,new wave,1980,slow,long,uk
5,kmfdm,industrial rock,1984,mixed,medium,germany
6,machine girl,breakcore,2012,fast,short,usa
7,mindless self indulgence,electronic,1997,fast,short,usa
8,ministry,industrial rock,1981,fast,long,usa
9,skinny puppy,electro-industrial,1982,mixed,long,canada
10,tool,progressive metal,1990,slow,long,usa
11,tricky,trip-hop,1995,slow,medium,uk
12,type o negative,gothic metal,1989,mixed,long,usa
13,vnv nation,electropop,1990,fast,medium,uk
14,duran duran,new wave,1978,mixed,medium,uk
15,nirvana,grunge,1987,mixed,short,usa
